site_treatment,sample_type,item,NO3_N_py,NH4_N,SRP,DP,date,month,PP_ug_liter,water_particulate_N_ug_L,water_particulate_C_ug_L,TP_ug_L
TPI_TC_NA,FIELD,0.50,1.41,0.39,8.95,9.69,2021-03-01,March,1.220825853,NA,NA,10.910825852999999
TPI_TC_NA,FIELD,0.50,0.79,0.6,2.77,2.69,2021-03-15,March,NA,NA,NA,NA
TPI_PNLD_0.5m,FIELD,0.50,7.03,1.22,2.53,8.38,2021-04-07,April,1.445127255,14.285714285714286,107.14285714285715,9.825127255000002
TPI_PNLD_0.5m,FIELD,1.00,1.7,0.5,2.87,12.38,2021-04-21,April,1.318854,21.428571428571427,242.85714285714283,13.698854
TPI_PNLD_0.5m,REF,0.50,11.01,-0.54,3.17,8.01,2021-06-13,June,NA,NA,NA,NA
TPI_PNLD_0.5m,FIELD,1.00,7.5,4.57,5.43,10.12,2021-08-08,August,4.064696418,NA,NA,14.184696417999998
TPI_PNLD_0.5m,FIELD,0.50,4.53,5.03,3.41,13.3,2021-10-10,October,2.423093131,28.57142857142857,299.99999999999994,15.723093131
TPI_PNLD_0.5m,FIELD,1.00,2.06,2.31,0.23,6.42,2021-11-28,November,1.34264232,24.999999999999996,257.1428571428571,7.762642319999999
TPI_PNLD_0.5m,FIELD,0.50,6.74,3.95,1.14,4.66,2022-02-27,February,-1.815333699,17.857142857142854,146.42857142857142,2.844666301
