"PreSens Measurement Studio 2","3.0.3.1703",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit"
"06/15/2021","18:53:50","3","Framsted","175401527","Batch 3_1_1_2","0.100","min","6.436","ppm (mg/L)","Humid","29.297","deg","15712","µV","23.081","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.50","0","2500.00","48576.26","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","3/2/2021 12:48:23 PM","0000-00","0","no battery","V"
"06/15/2021","18:53:53","1","Framsted","125448721","Batch 3_1_1","0.150","min","6.810","ppm (mg/L)","Humid","28.684","deg","30397","µV","23.063","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.00","0","2500.00","48905.40","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","2/1/2021 11:16:45 AM","0000-00","0","no battery","V"
"06/15/2021","18:53:53","4","Framsted","141697176","Batch 3_1_1_3","0.150","min","6.813","ppm (mg/L)","Humid","28.679","deg","20933","µV","23.063","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.00","0","2500.00","49299.98","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","3/2/2021 12:48:23 PM","0000-00","0","no battery","V"
"06/15/2021","18:53:53","2","Framsted","190253489","Batch 3_1_1_1","0.150","min","6.680","ppm (mg/L)","Humid","28.895","deg","24559","µV","23.063","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.50","0","2500.00","49383.47","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","3/2/2021 12:48:23 PM","0000-00","0","no battery","V"
"06/15/2021","18:53:53","3","Framsted","175401527","Batch 3_1_1_2","0.150","min","6.442","ppm (mg/L)","Humid","29.295","deg","15713","µV","23.063","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.50","0","2500.00","48574.74","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","3/2/2021 12:48:23 PM","0000-00","0","no battery","V"
"06/15/2021","18:53:56","1","Framsted","125448721","Batch 3_1_1","0.200","min","6.827","ppm (mg/L)","Humid","28.667","deg","30405","µV","23.032","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.00","0","2500.00","48904.08","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","2/1/2021 11:16:45 AM","0000-00","0","no battery","V"
"06/15/2021","18:53:56","4","Framsted","141697176","Batch 3_1_1_3","0.200","min","6.832","ppm (mg/L)","Humid","28.659","deg","20935","µV","23.032","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.00","0","2500.00","49300.86","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","3/2/2021 12:48:23 PM","0000-00","0","no battery","V"
"06/15/2021","18:53:56","2","Framsted","190253489","Batch 3_1_1_1","0.200","min","6.682","ppm (mg/L)","Humid","28.902","deg","24558","µV","23.032","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.50","0","2500.00","49382.33","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","3/2/2021 12:48:23 PM","0000-00","0","no battery","V"
"06/15/2021","18:53:56","3","Framsted","175401527","Batch 3_1_1_2","0.200","min","6.453","ppm (mg/L)","Humid","29.287","deg","15710","µV","23.032","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.50","0","2500.00","48580.22","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","3/2/2021 12:48:23 PM","0000-00","0","no battery","V"
"06/15/2021","18:53:59","1","Framsted","125448721","Batch 3_1_1","0.250","min","6.803","ppm (mg/L)","Humid","28.693","deg","30405","µV","23.069","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.00","0","2500.00","48896.75","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","2/1/2021 11:16:45 AM","0000-00","0","no battery","V"
