jar,temp,treatment,avg_GPP,avg_ER
13,15,enriched,-0.1649999999999379,0.7841584158415675
15,15,ambient,-3.341772151898767,2.7720000000000113
28,21,enriched,-7.642105263157933,0.6534653465346512
45,18,enriched,-2.1698630136986803,-0.13200000000002063
8,24,ambient,-1.0421052631578727,-0.9148514851485184
A22,18,ambient,-3.9243243243243677,-1.4519999999999806
A38,21,ambient,-7.989473684210527,-1.0559999999999892
A5,24,enriched,-3.99473684210524,-2.1999999999999993
