7530-426576
OS REV: 1.03 Sensor Cal: 1526022000
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1595268390, +3.53, +24.971,  -0.45544,  -0.908,  +0.880,  -0.064
1595268395, +3.53, +24.955,  -0.84547,  -0.913,  +0.844,  -0.010
1595268400, +3.53, +24.971,  -0.28442,  -0.904,  +0.880,  -0.040
1595268405, +3.53, +24.971,  +0.63366,  -0.905,  +0.846,  -0.001
1595268410, +3.53, +24.980,  -0.26942,  -0.909,  +0.876,  -0.061
1595268415, +3.53, +24.980,  -0.30543,  -0.905,  +0.841,  +0.001
1595268420, +3.53, +24.996,  +0.03660,  -0.905,  +0.881,  -0.049
1595268425, +3.53, +24.996,  -0.03540,  -0.908,  +0.843,  -0.010
1595268430, +3.53, +25.005,  +0.56165,  -0.909,  +0.876,  -0.065
1595268435, +3.53, +25.013,  -1.40052,  -0.906,  +0.844,  -0.004
1595268440, +3.53, +25.013,  -0.19142,  -0.909,  +0.888,  -0.066
1595268445, +3.53, +25.030,  -0.64146,  -0.905,  +0.841,  -0.008
1595268450, +3.53, +25.030,  -0.20042,  -0.911,  +0.880,  -0.061
1595268455, +3.53, +25.021,  -0.62645,  -0.905,  +0.839,  -0.001
1595268460, +3.53, +25.055,  +0.07561,  -0.912,  +0.888,  -0.052
1595268465, +3.53, +25.046,  -0.85447,  -0.909,  +0.847,  +0.006
1595268470, +3.53, +25.063,  -0.01740,  -0.903,  +0.883,  -0.063
1595268475, +3.53, +25.071,  -1.25951,  -0.905,  +0.843,  -0.017
1595268480, +3.53, +25.080,  +0.46564,  -0.912,  +0.883,  -0.061
1595268485, +3.53, +25.080,  -0.27242,  -0.909,  +0.838,  +0.004
1595268490, +3.53, +25.080,  -0.48244,  -0.909,  +0.883,  -0.058
1595268495, +3.53, +25.104,  +0.06961,  -0.908,  +0.840,  +0.003
1595268500, +3.53, +25.104,  +0.31263,  -0.912,  +0.878,  -0.048
1595268505, +3.53, +25.104,  -0.63546,  -0.909,  +0.839,  +0.006
1595268510, +3.53, +25.138,  -0.62645,  -0.904,  +0.883,  -0.047
1595268515, +3.53, +25.129,  +0.69366,  -0.909,  +0.841,  +0.003
1595268520, +3.53, +25.154,  -0.35643,  -0.904,  +0.892,  -0.066
1595268525, +3.53, +25.146,  +0.27362,  -0.905,  +0.839,  +0.006
1595268530, +3.53, +25.154,  +0.35763,  -0.905,  +0.880,  -0.045
1595268535, +3.53, +25.163,  -0.44044,  -0.904,  +0.847,  +0.003
1595268540, +3.53, +25.188,  +0.30363,  -0.909,  +0.883,  -0.056
1595268545, +3.53, +25.188,  -0.68346,  -0.904,  +0.839,  -0.002
1595268550, +3.53, +25.204,  +0.58265,  -0.906,  +0.880,  -0.055
1595268555, +3.53, +25.213,  -0.73446,  -0.903,  +0.843,  -0.008
1595268560, +3.53, +25.213,  -1.00449,  -0.900,  +0.887,  -0.058
1595268565, +3.53, +25.229,  -0.13441,  -0.905,  +0.844,  -0.025
1595268570, +3.53, +25.246,  -0.24242,  -0.905,  +0.880,  -0.064
1595268575, +3.53, +25.238,  -0.03240,  -0.895,  +0.835,  -0.008
1595268580, +3.53, +25.238,  -0.52445,  -0.906,  +0.879,  -0.049
1595268585, +3.53, +25.263,  +0.81667,  -0.905,  +0.871,  -0.039
1595268590, +3.53, +25.263,  -0.24542,  -0.908,  +0.840,  -0.007
1595268595, +3.53, +25.287,  +0.03360,  -0.909,  +0.887,  -0.052
1595268600, +3.53, +25.296,  -0.03840,  -0.904,  +0.844,  -0.013
1595268605, +3.53, +25.312,  +0.25562,  -0.905,  +0.876,  -0.052
1595268610, +3.53, +25.312,  +0.26162,  -0.909,  +0.860,  -0.031
1595268615, +3.53, +25.304,  -0.08341,  -0.897,  +0.838,  +0.004
1595268620, +3.53, +25.337,  +1.33572,  -0.905,  +0.888,  -0.064
1595268625, +3.53, +25.354,  -0.07741,  -0.904,  +0.852,  -0.001
1595268630, +3.53, +25.371,  +0.18662,  -0.884,  +0.883,  -0.072
1595268635, +3.53, +25.371,  -0.26042,  -0.882,  +0.865,  -0.049
1595268640, +3.53, +25.387,  +0.15661,  -0.884,  +0.884,  -0.045
1595268645, +3.53, +25.387,  -0.89648,  -0.887,  +0.864,  -0.045
1595268650, +3.53, +25.387,  -0.27242,  -0.880,  +0.895,  -0.071
1595268655, +3.53, +25.421,  -0.11941,  -0.881,  +0.852,  -0.013
1595268660, +3.53, +25.421,  -0.04140,  -0.746,  +0.960,  -0.121
1595268665, +3.53, +25.445,  -0.47344,  -0.729,  +0.944,  -0.040
1595268670, +3.53, +25.454,  -0.78247,  -0.663,  +0.931,  -0.132
1595268675, +3.53, +25.445,  +0.36963,  -0.665,  +0.972,  -0.185
1595268680, +3.53, +25.470,  -0.14941,  -0.665,  +0.960,  -0.173
1595268685, +3.53, +25.495,  +0.38463,  -0.640,  +0.947,  -0.135
1595268690, +3.53, +25.495,  +0.46264,  -0.668,  +0.984,  -0.193
1595268695, +3.53, +25.512,  +0.29763,  -0.665,  +0.963,  -0.180
1595268700, +3.53, +25.529,  +0.09361,  -0.665,  +0.936,  -0.137
1595268705, +3.53, +25.520,  +0.56465,  -0.665,  +0.983,  -0.196
1595268710, +3.53, +25.553,  -0.04140,  -0.671,  +0.956,  -0.148
1595268715, +3.53, +25.562,  -0.05340,  -0.663,  +0.967,  -0.180
1595268720, +3.53, +25.570,  -0.47644,  -0.648,  +0.934,  -0.145
1595268725, +3.53, +25.578,  +0.02460,  -0.655,  +0.969,  -0.200
1595268730, +3.53, +25.595,  -0.28142,  -0.656,  +0.940,  -0.141
1595268735, +3.53, +25.603,  -0.75547,  -0.648,  +0.974,  -0.205
1595268740, +3.53, +25.620,  +0.17162,  -0.649,  +0.931,  -0.154
1595268745, +3.53, +25.637,  -0.18542,  -0.644,  +0.977,  -0.200
1595268750, +3.53, +25.637,  +0.07561,  -0.648,  +0.952,  -0.175
1595268755, +3.53, +25.661,  -0.06241,  -0.653,  +0.960,  -0.192
1595268760, +3.53, +25.661,  +0.11761,  -0.647,  +0.940,  -0.148
1595268765, +3.53, +25.686,  +0.11761,  -0.653,  +0.976,  -0.200
1595268770, +3.53, +25.686,  -0.12241,  -0.650,  +0.936,  -0.136
1595268775, +3.53, +25.695,  +0.69066,  -0.645,  +0.972,  -0.200
1595268780, +3.53, +25.720,  -1.03449,  -0.650,  +0.966,  -0.194
1595268785, +3.53, +25.728,  +0.19862,  -0.652,  +0.936,  -0.136
1595268790, +3.53, +25.745,  +0.94868,  -0.653,  +0.974,  -0.205
1595268795, +3.52, +25.753,  +0.19862,  -0.648,  +0.958,  -0.168
1595268800, +3.53, +25.761,  +0.24662,  -0.642,  +0.935,  -0.143
1595268805, +3.52, +25.769,  -0.38343,  -0.641,  +0.966,  -0.217
1595268810, +3.52, +25.794,  -0.97749,  -0.648,  +0.956,  -0.193
1595268815, +3.52, +25.803,  +0.23162,  -0.642,  +0.942,  -0.144
1595268820, +3.52, +25.819,  -0.33843,  -0.637,  +0.971,  -0.205
1595268825, +3.52, +25.836,  +0.29463,  -0.648,  +0.966,  -0.185
1595268830, +3.52, +25.844,  -0.03240,  -0.640,  +0.936,  -0.159
1595268835, +3.52, +25.861,  +0.96368,  -0.645,  +0.967,  -0.202
1595268840, +3.52, +25.877,  -0.76147,  -0.647,  +0.960,  -0.176
1595268845, +3.52, +25.877,  -0.68646,  -0.640,  +0.935,  -0.148
1595268850, +3.52, +25.902,  +0.41764,  -0.648,  +0.972,  -0.209
1595268855, +3.52, +25.919,  -0.53345,  -0.648,  +0.968,  -0.208
1595268860, +3.52, +25.927,  -0.59645,  -0.644,  +0.936,  -0.146
1595268865, +3.52, +25.935,  -0.47044,  -0.641,  +0.971,  -0.207
1595268870, +3.52, +25.952,  +0.42364,  -0.645,  +0.961,  -0.191
1595268875, +3.52, +25.969,  +0.35163,  -0.644,  +0.942,  -0.160
1595268880, +3.52, +25.969,  -0.24842,  -0.642,  +0.971,  -0.205
1595268885, +3.52, +25.985,  -0.33543,  -0.644,  +0.976,  -0.196
1595268890, +3.52, +26.002,  -0.29943,  -0.639,  +0.936,  -0.141
1595268895, +3.52, +26.002,  -0.42844,  -0.641,  +0.968,  -0.207
1595268900, +3.52, +26.043,  -0.24542,  -0.642,  +0.971,  -0.197
1595268905, +3.52, +26.043,  +0.72066,  -0.647,  +0.935,  -0.145
1595268910, +3.52, +26.052,  -0.24242,  -0.640,  +0.972,  -0.208
1595268915, +3.52, +26.068,  +0.26462,  -0.637,  +0.961,  -0.189
1595268920, +3.52, +26.093,  +0.28562,  -0.637,  +0.936,  -0.149
1595268925, +3.52, +26.101,  +0.98769,  -0.640,  +0.974,  -0.201
1595268930, +3.52, +26.093,  -0.37143,  -0.639,  +0.972,  -0.191
1595268935, +3.52, +26.110,  +0.11461,  -0.644,  +0.944,  -0.141
1595268940, +3.52, +26.126,  -0.11641,  -0.639,  +0.975,  -0.212
1595268945, +3.52, +26.135,  +0.18962,  -0.636,  +0.979,  -0.200
1595268950, +3.52, +26.159,  -0.84247,  -0.648,  +0.940,  -0.151
1595268955, +3.52, +26.168,  -1.13050,  -0.641,  +0.972,  -0.208
1595268960, +3.52, +26.176,  +1.05069,  -0.640,  +0.974,  -0.189
1595268965, +3.52, +26.184,  +0.51064,  -0.648,  +0.943,  -0.148
1595268970, +3.52, +26.209,  -0.56345,  -0.644,  +0.968,  -0.196
1595268975, +3.52, +26.209,  -0.57245,  -0.637,  +0.969,  -0.191
1595268980, +3.52, +26.242,  +0.21062,  -0.641,  +0.943,  -0.149
1595268985, +3.52, +26.242,  +0.10261,  -0.644,  +0.972,  -0.205
1595268990, +3.52, +26.251,  -1.07349,  -0.642,  +0.967,  -0.194
1595268995, +3.52, +26.267,  -0.12541,  -0.637,  +0.939,  -0.143
1595269000, +3.52, +26.284,  +0.21362,  -0.640,  +0.969,  -0.208
