7530-426576
OS REV: 1.03 Sensor Cal: 1526022000
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1595269705, +3.51, +27.787,  +0.11461,  -0.474,  +0.968,  -0.272
1595269710, +3.51, +27.803,  -0.69246,  -0.481,  +0.984,  -0.289
1595269715, +3.51, +27.803,  -0.76147,  -0.473,  +0.982,  -0.285
1595269720, +3.51, +27.820,  -0.40444,  -0.457,  +0.984,  -0.272
1595269725, +3.51, +27.828,  -0.72246,  -0.461,  +0.967,  -0.281
1595269730, +3.51, +27.836,  +0.23462,  -0.585,  +0.976,  -0.202
1595269735, +3.51, +27.853,  -0.05941,  -0.481,  +0.961,  -0.276
1595269740, +3.51, +27.853,  +0.54665,  -0.456,  +0.988,  -0.250
1595269745, +3.51, +27.853,  -0.53945,  -0.449,  +0.985,  -0.260
1595269750, +3.51, +27.877,  -1.89557,  -0.450,  +0.987,  -0.255
1595269755, +3.51, +27.885,  +0.50464,  -0.448,  +0.990,  -0.252
1595269760, +3.51, +27.894,  -0.48244,  -0.391,  +1.008,  -0.300
1595269765, +3.51, +27.894,  -0.63546,  -0.441,  +0.971,  -0.276
1595269770, +3.51, +27.918,  -0.28142,  -0.436,  +0.968,  -0.277
1595269775, +3.51, +27.927,  +1.03869,  -0.417,  +0.999,  -0.281
1595269780, +3.51, +27.935,  -0.74346,  -0.445,  +0.966,  -0.292
1595269785, +3.51, +27.943,  -0.35343,  -0.402,  +0.967,  -0.309
1595269790, +3.51, +27.943,  +0.60065,  -0.449,  +0.975,  -0.301
1595269795, +3.51, +27.951,  -0.11641,  -0.452,  +0.969,  -0.281
1595269800, +3.51, +27.976,  -0.49744,  -0.456,  +0.945,  -0.240
1595269805, +3.51, +27.968,  -0.12841,  -0.458,  +0.975,  -0.308
1595269810, +3.51, +27.984,  -0.47044,  -0.453,  +0.975,  -0.295
1595269815, +3.51, +27.992,  -0.65046,  -0.464,  +0.966,  -0.277
1595269820, +3.51, +28.009,  +0.39363,  -0.456,  +0.967,  -0.290
1595269825, +3.51, +28.009,  +0.05160,  -0.456,  +0.943,  -0.237
1595269830, +3.51, +28.025,  -0.80947,  -0.457,  +0.963,  -0.285
1595269835, +3.51, +28.025,  +0.21962,  -0.465,  +0.963,  -0.296
1595269840, +3.51, +28.042,  +0.03660,  -0.461,  +0.968,  -0.304
1595269845, +3.51, +28.058,  +0.42664,  -0.458,  +0.976,  -0.304
1595269850, +3.51, +28.058,  -0.97749,  -0.463,  +0.972,  -0.301
1595269855, +3.51, +28.058,  -1.07349,  -0.449,  +0.940,  -0.239
1595269860, +3.51, +28.083,  -0.80947,  -0.463,  +0.967,  -0.288
1595269865, +3.51, +28.074,  -0.34443,  -0.461,  +0.963,  -0.293
1595269870, +3.51, +28.107,  -0.00540,  -0.456,  +0.963,  -0.292
1595269875, +3.51, +28.107,  +0.33363,  -0.456,  +0.974,  -0.305
1595269880, +3.51, +28.115,  -1.18750,  -0.456,  +0.940,  -0.241
1595269885, +3.51, +28.107,  -1.16050,  -0.457,  +0.963,  -0.288
1595269890, +3.51, +28.132,  +0.48364,  -0.461,  +0.966,  -0.296
1595269895, +3.51, +28.148,  -1.11250,  -0.461,  +0.972,  -0.301
1595269900, +3.51, +28.156,  -0.11641,  -0.461,  +0.972,  -0.296
1595269905, +3.51, +28.165,  -0.50944,  -0.458,  +0.976,  -0.303
1595269910, +3.51, +28.165,  -0.17942,  -0.463,  +0.975,  -0.313
1595269915, +3.51, +28.181,  -0.62946,  -0.464,  +0.947,  -0.244
1595269920, +3.51, +28.197,  +0.07261,  -0.466,  +0.971,  -0.303
1595269925, +3.51, +28.189,  -0.25742,  -0.458,  +0.963,  -0.296
1595269930, +3.51, +28.206,  +0.06661,  -0.460,  +0.969,  -0.303
1595269935, +3.51, +28.214,  -0.52745,  -0.460,  +0.975,  -0.313
1595269940, +3.51, +28.214,  -0.58745,  -0.464,  +0.976,  -0.296
1595269945, +3.51, +28.214,  -0.69846,  -0.460,  +0.940,  -0.241
1595269950, +3.51, +28.238,  -0.33543,  -0.457,  +0.960,  -0.285
1595269955, +3.51, +28.255,  +0.28863,  -0.456,  +0.966,  -0.288
1595269960, +3.51, +28.255,  -0.40444,  -0.461,  +0.971,  -0.295
1595269965, +3.51, +28.263,  -0.62946,  -0.464,  +0.975,  -0.306
1595269970, +3.51, +28.263,  +0.07861,  -0.464,  +0.972,  -0.311
1595269975, +3.51, +28.279,  +0.28863,  -0.457,  +0.947,  -0.252
1595269980, +3.51, +28.279,  -0.63246,  -0.456,  +0.975,  -0.300
1595269985, +3.51, +28.304,  -0.07141,  -0.456,  +0.975,  -0.305
1595269990, +3.51, +28.320,  +0.07561,  -0.460,  +0.952,  -0.253
1595269995, +3.51, +28.312,  +0.17162,  -0.464,  +0.975,  -0.301
1595270000, +3.51, +28.329,  -0.36843,  -0.457,  +0.975,  -0.312
1595270005, +3.51, +28.337,  -1.19050,  -0.456,  +0.956,  -0.257
1595270010, +3.51, +28.337,  -0.08041,  -0.455,  +0.975,  -0.305
1595270015, +3.51, +28.353,  -1.00449,  -0.456,  +0.963,  -0.269
1595270020, +3.51, +28.370,  -0.61445,  -0.463,  +0.975,  -0.301
1595270025, +3.51, +28.361,  +0.51665,  -0.464,  +0.960,  -0.279
1595270030, +3.51, +28.394,  -0.60545,  -0.458,  +0.974,  -0.289
1595270035, +3.51, +28.386,  -1.23251,  -0.453,  +0.961,  -0.282
1595270040, +3.51, +28.402,  +0.56165,  -0.455,  +0.968,  -0.293
1595270045, +3.51, +28.411,  +0.31563,  -0.456,  +0.944,  -0.242
1595270050, +3.51, +28.411,  +0.19562,  -0.463,  +0.972,  -0.297
1595270055, +3.51, +28.427,  +0.18062,  -0.456,  +0.975,  -0.304
1595270060, +3.51, +28.435,  -0.77047,  -0.473,  +0.975,  -0.295
1595270065, +3.51, +28.443,  -0.16141,  +0.003,  +0.401,  +0.803
1595270070, +3.51, +28.452,  -0.17642,  -0.633,  +0.847,  -0.356
1595270075, +3.51, +28.468,  -0.00240,  -0.655,  +0.992,  -0.130
1595270080, +3.51, +28.468,  -0.14041,  -0.616,  +0.991,  -0.161
1595270085, +3.51, +28.468,  -0.15841,  -0.618,  +0.992,  -0.172
1595270090, +3.51, +28.492,  +0.14461,  -0.617,  +0.984,  -0.153
1595270095, +3.51, +28.476,  -0.37743,  -0.624,  +0.999,  -0.189
1595270100, +3.51, +28.501,  +0.06061,  -0.615,  +0.975,  -0.136
1595270105, +3.51, +28.517,  -0.32043,  -0.616,  +0.998,  -0.185
1595270110, +3.51, +28.517,  -0.69246,  -0.621,  +0.992,  -0.168
1595270115, +3.51, +28.533,  -0.29343,  -0.613,  +0.980,  -0.129
1595270120, +3.51, +28.533,  -1.02249,  -0.612,  +0.998,  -0.173
1595270125, +3.51, +28.566,  -0.44344,  -0.612,  +0.999,  -0.173
1595270130, +3.51, +28.558,  -0.62345,  -0.607,  +0.984,  -0.132
1595270135, +3.51, +28.566,  -0.44944,  -0.602,  +1.000,  -0.199
1595270140, +3.51, +28.566,  -1.02549,  -0.609,  +0.995,  -0.173
1595270145, +3.51, +28.591,  -0.14941,  -0.596,  +0.961,  -0.125
1595270150, +3.51, +28.582,  -1.20551,  -0.602,  +0.992,  -0.173
1595270155, +3.51, +28.599,  -1.11850,  -0.608,  +0.992,  -0.178
1595270160, +3.51, +28.615,  -0.48844,  -0.580,  +0.979,  -0.200
1595270165, +3.51, +28.615,  -0.05340,  -0.594,  +0.990,  -0.204
1595270170, +3.51, +28.632,  +0.42364,  -0.575,  +0.999,  -0.184
1595270175, +3.51, +28.623,  -0.77047,  -0.599,  +0.993,  -0.200
1595270180, +3.51, +28.640,  -0.48844,  -0.589,  +0.984,  -0.168
1595270185, +3.51, +28.656,  -0.46744,  -0.588,  +0.995,  -0.205
1595270190, +3.51, +28.656,  -0.64746,  -0.586,  +0.975,  -0.144
1595270195, +3.51, +28.672,  +0.01860,  -0.592,  +0.995,  -0.193
1595270200, +3.51, +28.681,  +0.06961,  -0.592,  +0.999,  -0.189
1595270205, +3.51, +28.689,  -0.69546,  -0.580,  +0.983,  -0.181
1595270210, +3.51, +28.697,  -0.91148,  -0.577,  +0.993,  -0.208
1595270215, +3.51, +28.697,  -0.65946,  -0.569,  +0.990,  -0.181
1595270220, +3.51, +28.713,  -0.38343,  -0.621,  +0.999,  -0.160
1595270225, +3.51, +28.721,  -0.60845,  -0.612,  +0.990,  -0.151
1595270230, +3.51, +28.689,  -0.14041,  -0.588,  +1.001,  -0.185
1595270235, +3.51, +28.738,  -0.40144,  -0.592,  +0.983,  -0.180
1595270240, +3.51, +28.746,  -0.60545,  -0.586,  +0.991,  -0.191
1595270245, +3.51, +28.746,  -0.10141,  -0.589,  +0.975,  -0.151
1595270250, +3.51, +28.754,  -0.68646,  -0.596,  +1.004,  -0.193
1595270255, +3.51, +28.762,  -0.65046,  -0.576,  +0.984,  -0.196
1595270260, +3.51, +28.779,  -0.22142,  -0.581,  +0.995,  -0.164
1595270265, +3.51, +28.779,  -0.05941,  -0.589,  +0.995,  -0.189
1595270270, +3.51, +28.787,  -0.65346,  -0.586,  +1.000,  -0.184
1595270275, +3.51, +28.795,  -0.58745,  -0.584,  +0.977,  -0.172
1595270280, +3.51, +28.811,  -0.31743,  -0.584,  +0.990,  -0.196
1595270285, +3.51, +28.811,  -0.63246,  -0.584,  +0.992,  -0.191
1595270290, +3.51, +28.828,  -0.96548,  -0.585,  +0.968,  -0.153
1595270295, +3.51, +28.828,  -0.03540,  -0.584,  +0.995,  -0.201
1595270300, +3.51, +28.844,  -0.54245,  -0.584,  +0.995,  -0.193
1595270305, +3.51, +28.844,  -0.00540,  -0.591,  +0.991,  -0.183
1595270310, +3.51, +28.844,  -0.54545,  -0.607,  +0.976,  -0.162
1595270315, +3.51, +28.860,  +1.06569,  -0.589,  +1.003,  -0.199
1595270320, +3.51, +28.860,  +0.03060,  -0.585,  +0.985,  -0.189
1595270325, +3.51, +28.877,  +0.00960,  -0.609,  +0.984,  -0.180
1595270330, +3.51, +28.860,  -0.87248,  -0.596,  +0.992,  -0.156
1595270335, +3.51, +28.893,  -0.19142,  -0.596,  +0.988,  -0.217
1595270340, +3.51, +28.893,  +0.10861,  -0.600,  +0.972,  -0.177
1595270345, +3.51, +28.909,  -0.76147,  -0.599,  +0.984,  -0.207
1595270350, +3.51, +28.909,  -0.14641,  -0.601,  +0.975,  -0.202
1595270355, +3.51, +28.909,  -0.47944,  -0.580,  +0.967,  -0.205
1595270360, +3.51, +28.926,  +0.78967,  -0.576,  +1.008,  -0.208
1595270365, +3.51, +28.934,  -1.01949,  -0.567,  +0.960,  -0.217
1595270370, +3.51, +28.934,  -0.27542,  -0.569,  +0.979,  -0.240
1595270375, +3.51, +28.942,  +0.44464,  -0.561,  +0.968,  -0.223
1595270380, +3.51, +28.966,  -0.16741,  -0.567,  +0.968,  -0.217
1595270385, +3.51, +28.966,  +0.09061,  -0.561,  +0.984,  -0.244
1595270390, +3.51, +28.975,  +0.35163,  -0.569,  +0.972,  -0.228
1595270395, +3.51, +28.975,  -0.58145,  -0.561,  +0.959,  -0.180
1595270400, +3.51, +28.975,  -0.07141,  -0.573,  +0.983,  -0.233
1595270405, +3.51, +28.983,  -0.22742,  -0.573,  +0.977,  -0.237
1595270410, +3.51, +28.999,  -0.16441,  -0.576,  +0.982,  -0.192
1595270415, +3.51, +29.007,  +0.04860,  -0.573,  +0.988,  -0.221
1595270420, +3.51, +29.007,  -0.23642,  -0.581,  +0.979,  -0.205
1595270425, +3.51, +29.023,  -0.07141,  -0.573,  +0.979,  -0.208
1595270430, +3.50, +29.023,  -0.77947,  -0.577,  +0.990,  -0.215
1595270435, +3.50, +29.023,  -0.89348,  -0.561,  +1.011,  -0.137
1595270440, +3.51, +29.040,  +0.15961,  -0.533,  +0.984,  -0.250
1595270445, +3.51, +29.040,  -0.37443,  -0.536,  +0.979,  -0.240
1595270450, +3.50, +29.056,  -0.22442,  -0.538,  +0.975,  -0.229
1595270455, +3.50, +29.064,  -0.64446,  -0.537,  +0.992,  -0.248
1595270460, +3.50, +29.064,  -0.15841,  -0.544,  +0.984,  -0.232
1595270465, +3.50, +29.080,  +0.08161,  -0.535,  +0.969,  -0.244
1595270470, +3.50, +29.080,  -1.12450,  -0.532,  +0.980,  -0.234
1595270475, +3.50, +29.089,  +0.62465,  -0.538,  +0.974,  -0.232
1595270480, +3.50, +29.089,  +0.11161,  -0.536,  +0.984,  -0.255
1595270485, +3.50, +29.105,  -0.77647,  -0.536,  +0.972,  -0.228
1595270490, +3.50, +29.097,  -0.51845,  -0.532,  +0.977,  -0.241
1595270495, +3.50, +29.105,  -0.05941,  -0.540,  +0.968,  -0.244
1595270500, +3.50, +29.113,  -0.38043,  -0.532,  +0.979,  -0.244
1595270505, +3.50, +29.105,  -0.19142,  -0.537,  +0.977,  -0.225
1595270510, +3.50, +29.129,  -0.73746,  -0.541,  +0.993,  -0.232
1595270515, +3.50, +29.137,  -0.14041,  -0.537,  +0.979,  -0.225
1595270520, +3.50, +29.137,  -0.71646,  -0.537,  +0.982,  -0.249
1595270525, +3.50, +29.146,  +0.05160,  -0.538,  +0.977,  -0.232
1595270530, +3.50, +29.162,  -0.53345,  -0.538,  +0.982,  -0.234
1595270535, +3.50, +29.154,  -0.64146,  -0.537,  +0.985,  -0.228
1595270540, +3.50, +29.170,  +0.04560,  -0.544,  +0.983,  -0.225
1595270545, +3.50, +29.178,  +0.03060,  -0.544,  +0.982,  -0.234
1595270550, +3.50, +29.178,  -0.53345,  -0.583,  +0.991,  -0.192
1595270555, +3.50, +29.186,  +0.15361,  -0.573,  +0.984,  -0.180
1595270560, +3.50, +29.186,  -0.33243,  -0.625,  +0.984,  -0.189
1595270565, +3.50, +29.194,  -0.82747,  -0.665,  +0.963,  -0.178
1595270570, +3.50, +29.186,  +0.70566,  -0.680,  +0.956,  -0.145
1595270575, +3.50, +29.211,  -0.36843,  -0.674,  +0.964,  -0.175
1595270580, +3.50, +29.211,  +0.08761,  -0.679,  +0.958,  -0.164
1595270585, +3.50, +29.227,  +0.53165,  -0.673,  +0.958,  -0.151
1595270590, +3.50, +29.227,  +0.14161,  -0.680,  +0.960,  -0.176
1595270595, +3.50, +29.227,  -0.51244,  -0.685,  +0.955,  -0.160
1595270600, +3.50, +29.235,  +0.05460,  -0.685,  +0.963,  -0.168
1595270605, +3.50, +29.243,  +0.61265,  -0.684,  +0.950,  -0.170
1595270610, +3.50, +29.243,  -0.47344,  -0.424,  +0.983,  -0.105
1595270615, +3.50, +29.260,  -0.35343,  -0.575,  +0.972,  -0.200
1595270620, +3.50, +29.260,  +0.35163,  -0.580,  +0.976,  -0.217
1595270625, +3.50, +29.276,  +0.98169,  -0.570,  +0.975,  -0.214
1595270630, +3.50, +29.268,  +0.18062,  -0.567,  +0.968,  -0.213
1595270635, +3.50, +29.276,  -0.04440,  -0.576,  +0.985,  -0.212
1595270640, +3.50, +29.276,  +0.33663,  -0.538,  +0.971,  -0.228
1595270645, +3.50, +29.292,  -0.35343,  -0.473,  +0.944,  -0.324
1595270650, +3.50, +29.292,  +0.20762,  -0.488,  +0.944,  -0.292
1595270655, +3.50, +29.300,  +0.18962,  -0.493,  +0.956,  -0.313
1595270660, +3.50, +29.300,  +0.14461,  -0.497,  +0.950,  -0.284
1595270665, +3.50, +29.308,  +0.93068,  -0.490,  +0.961,  -0.297
1595270670, +3.50, +29.308,  +0.10261,  -0.496,  +0.952,  -0.292
1595270675, +3.50, +29.317,  +0.91268,  -0.496,  +0.958,  -0.296
1595270680, +3.50, +29.325,  -0.68946,  -0.493,  +0.951,  -0.289
1595270685, +3.50, +29.325,  -0.86048,  -0.495,  +0.958,  -0.319
1595270690, +3.50, +29.341,  -0.69846,  -0.489,  +0.952,  -0.296
1595270695, +3.50, +29.333,  +0.97569,  -0.488,  +0.960,  -0.308
1595270700, +3.50, +29.349,  -0.46744,  -0.489,  +0.952,  -0.288
1595270705, +3.50, +29.357,  -0.07741,  -0.493,  +0.952,  -0.281
1595270710, +3.50, +29.357,  -1.13050,  -0.496,  +0.945,  -0.290
1595270715, +3.50, +29.365,  -0.07141,  -0.496,  +0.953,  -0.285
1595270720, +3.50, +29.357,  -1.01949,  -0.490,  +0.966,  -0.295
1595270725, +3.50, +29.373,  -1.12450,  -0.488,  +0.958,  -0.292
1595270730, +3.50, +29.382,  +0.71766,  -0.488,  +0.955,  -0.292
1595270735, +3.50, +29.382,  +0.44464,  -0.488,  +0.947,  -0.305
1595270740, +3.50, +29.382,  +0.40564,  -0.489,  +0.952,  -0.285
1595270745, +3.50, +29.398,  -0.73446,  -0.488,  +0.956,  -0.280
1595270750, +3.50, +29.390,  +0.04860,  -0.497,  +0.972,  -0.288
1595270755, +3.50, +29.406,  +0.50164,  -0.540,  +0.931,  -0.298
1595270760, +3.50, +29.414,  -0.00840,  -0.532,  +0.945,  -0.290
1595270765, +3.50, +29.422,  +0.03960,  -0.612,  +0.960,  -0.221
1595270770, +3.50, +29.422,  -0.54845,  -0.569,  +0.943,  -0.253
1595270775, +3.50, +29.422,  -0.14941,  -0.588,  +0.937,  -0.272
1595270780, +3.50, +29.422,  +0.63966,  -0.592,  +0.939,  -0.257
1595270785, +3.50, +29.438,  -0.38643,  -0.616,  +0.932,  -0.255
1595270790, +3.50, +29.438,  +0.60665,  -0.609,  +0.937,  -0.274
1595270795, +3.50, +29.438,  -0.39843,  -0.609,  +0.934,  -0.258
1595270800, +3.50, +29.455,  +0.82267,  -0.609,  +0.931,  -0.249
1595270805, +3.50, +29.455,  -0.12241,  -0.607,  +0.935,  -0.260
1595270810, +3.50, +29.438,  +0.42064,  -0.604,  +0.935,  -0.253
1595270815, +3.50, +29.471,  +0.01560,  -0.609,  +0.935,  -0.268
1595270820, +3.50, +29.463,  -1.43353,  -0.609,  +0.942,  -0.269
1595270825, +3.50, +29.471,  -0.02940,  -0.612,  +0.934,  -0.252
1595270830, +3.50, +29.487,  -0.44644,  -0.612,  +0.944,  -0.264
1595270835, +3.50, +29.487,  -0.51845,  -0.607,  +0.936,  -0.253
1595270840, +3.50, +29.495,  -0.39243,  -0.613,  +0.931,  -0.256
1595270845, +3.50, +29.495,  -0.41944,  -0.613,  +0.943,  -0.268
1595270850, +3.50, +29.495,  +0.78667,  -0.605,  +0.935,  -0.261
1595270855, +3.50, +29.511,  +0.60965,  -0.609,  +0.929,  -0.248
1595270860, +3.50, +29.503,  +0.69066,  -0.607,  +0.931,  -0.252
1595270865, +3.50, +29.479,  +0.26762,  -0.609,  +0.931,  -0.264
1595270870, +3.50, +29.520,  -1.19950,  -0.608,  +0.931,  -0.253
1595270875, +3.50, +29.520,  -0.66246,  -0.616,  +0.937,  -0.253
1595270880, +3.50, +29.528,  +0.19562,  -0.615,  +0.927,  -0.249
1595270885, +3.50, +29.528,  +0.09661,  -0.610,  +0.935,  -0.253
1595270890, +3.50, +29.528,  -1.26851,  -0.609,  +0.931,  -0.247
1595270895, +3.50, +29.544,  -0.46744,  -0.612,  +0.935,  -0.249
1595270900, +3.50, +29.544,  -0.85747,  -0.609,  +0.927,  -0.252
1595270905, +3.50, +29.544,  +0.43864,  -0.612,  +0.936,  -0.256
1595270910, +3.50, +29.552,  -1.53253,  -0.605,  +0.920,  -0.244
1595270915, +3.50, +29.552,  -0.36543,  -0.608,  +0.943,  -0.272
1595270920, +3.50, +29.560,  -0.57845,  -0.616,  +0.944,  -0.264
1595270925, +3.50, +29.568,  +0.30063,  -0.610,  +0.931,  -0.260
1595270930, +3.50, +29.576,  -1.61054,  -0.616,  +0.936,  -0.253
1595270935, +3.50, +29.584,  +1.50373,  -0.612,  +0.929,  -0.247
1595270940, +3.50, +29.584,  -0.10441,  -0.612,  +0.935,  -0.258
1595270945, +3.50, +29.584,  +0.70866,  -0.615,  +0.935,  -0.263
1595270950, +3.50, +29.601,  -0.70446,  -0.610,  +0.929,  -0.248
1595270955, +3.50, +29.593,  -0.22442,  -0.612,  +0.934,  -0.247
1595270960, +3.50, +29.593,  -0.02340,  -0.613,  +0.931,  -0.258
1595270965, +3.50, +29.593,  -0.80647,  -0.612,  +0.928,  -0.248
1595270970, +3.50, +29.601,  +0.94268,  -0.612,  +0.939,  -0.260
1595270975, +3.50, +29.609,  -0.83947,  -0.609,  +0.936,  -0.257
1595270980, +3.50, +29.601,  +0.57665,  -0.612,  +0.935,  -0.256
1595270985, +3.50, +29.617,  +0.48664,  -0.613,  +0.935,  -0.258
1595270990, +3.50, +29.617,  +0.50464,  -0.609,  +0.934,  -0.257
1595270995, +3.50, +29.617,  -0.02040,  -0.609,  +0.931,  -0.263
1595271000, +3.50, +29.633,  +1.14970,  -0.617,  +0.929,  -0.253
1595271005, +3.50, +29.633,  +0.02160,  -0.612,  +0.929,  -0.250
1595271010, +3.50, +29.625,  -1.25651,  -0.616,  +0.937,  -0.260
1595271015, +3.50, +29.649,  +0.29463,  -0.612,  +0.934,  -0.248
1595271020, +3.50, +29.641,  -0.50344,  -0.617,  +0.932,  -0.255
1595271025, +3.50, +29.641,  +0.72366,  -0.610,  +0.932,  -0.244
1595271030, +3.50, +29.657,  -0.52445,  -0.616,  +0.936,  -0.258
1595271035, +3.50, +29.657,  +0.28262,  -0.615,  +0.931,  -0.257
1595271040, +3.50, +29.666,  -0.97749,  -0.609,  +0.934,  -0.269
1595271045, +3.50, +29.674,  +0.55265,  -0.609,  +0.924,  -0.250
1595271050, +3.50, +29.666,  -0.98049,  -0.605,  +0.927,  -0.263
1595271055, +3.50, +29.674,  +1.41672,  -0.609,  +0.936,  -0.249
1595271060, +3.50, +29.682,  -0.23642,  -0.615,  +0.931,  -0.250
1595271065, +3.50, +29.682,  +0.91868,  -0.612,  +0.932,  -0.249
1595271070, +3.50, +29.690,  +0.30663,  -0.616,  +0.927,  -0.249
1595271075, +3.50, +29.690,  +1.13470,  -0.607,  +0.931,  -0.257
1595271080, +3.50, +29.698,  +1.17370,  -0.610,  +0.932,  -0.245
1595271085, +3.50, +29.698,  -0.43744,  -0.621,  +0.937,  -0.248
1595271090, +3.50, +29.698,  +0.69666,  -0.610,  +0.929,  -0.263
1595271095, +3.50, +29.706,  -0.37743,  -0.612,  +0.935,  -0.255
1595271100, +3.50, +29.706,  +0.30963,  -0.616,  +0.936,  -0.264
1595271105, +3.50, +29.730,  +1.03569,  -0.609,  +0.927,  -0.269
1595271110, +3.50, +29.714,  -0.83047,  -0.612,  +0.936,  -0.253
1595271115, +3.50, +29.722,  -0.71946,  -0.616,  +0.940,  -0.249
1595271120, +3.50, +29.722,  -0.02640,  -0.616,  +0.940,  -0.264
1595271125, +3.50, +29.738,  +0.79267,  -0.613,  +0.935,  -0.257
1595271130, +3.50, +29.738,  +0.86468,  -0.609,  +0.934,  -0.239
1595271135, +3.50, +29.738,  +0.73266,  -0.613,  +0.935,  -0.249
1595271140, +3.50, +29.738,  -0.90548,  -0.612,  +0.934,  -0.249
1595271145, +3.50, +29.755,  +0.52265,  -0.616,  +0.931,  -0.258
1595271150, +3.50, +29.763,  +0.32763,  -0.620,  +0.936,  -0.264
1595271155, +3.50, +29.763,  -0.17942,  -0.616,  +0.931,  -0.260
1595271160, +3.50, +29.755,  +1.31772,  -0.613,  +0.929,  -0.258
1595271165, +3.50, +29.755,  +0.40564,  -0.615,  +0.927,  -0.247
1595271170, +3.50, +29.763,  +0.27362,  -0.621,  +0.932,  -0.256
1595271175, +3.50, +29.771,  -0.09841,  -0.613,  +0.924,  -0.264
1595271180, +3.50, +29.771,  -0.68046,  -0.609,  +0.940,  -0.265
1595271185, +3.50, +29.779,  -0.23042,  -0.616,  +0.929,  -0.249
1595271190, +3.50, +29.779,  -1.00149,  -0.615,  +0.928,  -0.269
1595271195, +3.50, +29.787,  +0.96968,  -0.620,  +0.935,  -0.256
1595271200, +3.50, +29.787,  +0.24662,  -0.617,  +0.936,  -0.268
1595271205, +3.50, +29.787,  +0.03360,  -0.621,  +0.937,  -0.264
1595271210, +3.50, +29.787,  -0.17041,  -0.615,  +0.928,  -0.255
1595271215, +3.50, +29.795,  +0.43864,  -0.617,  +0.936,  -0.260
1595271220, +3.50, +29.803,  +0.19862,  -0.616,  +0.935,  -0.272
1595271225, +3.50, +29.811,  +0.02460,  -0.618,  +0.931,  -0.257
1595271230, +3.50, +29.811,  +0.17762,  -0.615,  +0.936,  -0.255
1595271235, +3.50, +29.819,  -0.05941,  -0.612,  +0.931,  -0.257
1595271240, +3.50, +29.811,  -0.24242,  -0.612,  +0.928,  -0.256
1595271245, +3.50, +29.819,  -1.12450,  -0.616,  +0.931,  -0.253
1595271250, +3.50, +29.819,  +0.31263,  -0.609,  +0.931,  -0.252
1595271255, +3.50, +29.827,  -0.42544,  -0.617,  +0.928,  -0.263
1595271260, +3.50, +29.827,  +0.18962,  -0.616,  +0.934,  -0.260
1595271265, +3.50, +29.836,  +0.68166,  -0.620,  +0.936,  -0.260
1595271270, +3.50, +29.844,  +1.17970,  -0.612,  +0.935,  -0.257
1595271275, +3.50, +29.844,  +0.66966,  -0.610,  +0.931,  -0.250
1595271280, +3.50, +29.844,  +0.81067,  -0.617,  +0.934,  -0.253
1595271285, +3.50, +29.836,  -0.82747,  -0.616,  +0.931,  -0.257
1595271290, +3.50, +29.852,  +0.99369,  -0.616,  +0.940,  -0.260
1595271295, +3.50, +29.860,  -0.20042,  -0.613,  +0.936,  -0.260
1595271300, +3.50, +29.852,  +1.08970,  -0.610,  +0.931,  -0.263
1595271305, +3.50, +29.852,  +0.33663,  -0.616,  +0.934,  -0.255
1595271310, +3.50, +29.868,  +0.89468,  -0.616,  +0.931,  -0.249
1595271315, +3.50, +29.868,  +0.60665,  -0.616,  +0.931,  -0.264
1595271320, +3.50, +29.876,  -0.68646,  -0.616,  +0.928,  -0.252
1595271325, +3.50, +29.884,  -0.60845,  -0.616,  +0.927,  -0.256
1595271330, +3.50, +29.868,  +0.23762,  -0.621,  +0.931,  -0.249
1595271335, +3.50, +29.884,  +0.08761,  -0.615,  +0.940,  -0.264
1595271340, +3.50, +29.876,  +0.26762,  -0.616,  +0.937,  -0.249
1595271345, +3.50, +29.884,  +0.55265,  -0.616,  +0.935,  -0.249
1595271350, +3.50, +29.900,  +0.25262,  -0.620,  +0.931,  -0.249
1595271355, +3.50, +29.900,  +0.09661,  -0.615,  +0.939,  -0.266
1595271360, +3.50, +29.892,  +0.47164,  -0.615,  +0.931,  -0.265
1595271365, +3.50, +29.908,  -0.53045,  -0.616,  +0.934,  -0.253
1595271370, +3.50, +29.908,  +1.10170,  -0.616,  +0.927,  -0.257
1595271375, +3.50, +29.908,  +1.27871,  -0.616,  +0.936,  -0.256
1595271380, +3.50, +29.916,  -0.38043,  -0.612,  +0.928,  -0.253
1595271385, +3.50, +29.908,  +0.83467,  -0.618,  +0.932,  -0.272
1595271390, +3.49, +29.916,  -0.17942,  -0.619,  +0.935,  -0.252
1595271395, +3.50, +29.916,  +0.12061,  -0.617,  +0.932,  -0.249
1595271400, +3.50, +29.916,  +0.29463,  -0.616,  +0.936,  -0.255
1595271405, +3.49, +29.925,  -0.24242,  -0.616,  +0.934,  -0.265
1595271410, +3.50, +29.925,  +0.89468,  -0.616,  +0.936,  -0.255
1595271415, +3.49, +29.933,  +1.28171,  -0.624,  +0.936,  -0.260
1595271420, +3.49, +29.941,  -0.80947,  -0.616,  +0.931,  -0.255
1595271425, +3.49, +29.941,  +0.29163,  -0.618,  +0.944,  -0.272
1595271430, +3.49, +29.941,  +0.44164,  -0.616,  +0.931,  -0.257
1595271435, +3.49, +29.933,  -1.07649,  -0.615,  +0.931,  -0.263
