jar,temp,treatment,avg_GPP,avg_ER
A13,12.5,enriched,-28.623157894736874,-2.275862068965492
A18,15.5,enriched,-10.853333333333312,-4.80000000000001
A26,9.5,ambient,3.696000000000015,-0.2588235294117362
A3,18.5,ambient,-11.33478260869559,-6.255924170616124
A34,12.5,ambient,-26.262500000000003,-1.8297029702970369
A36,15.5,ambient,-16.573333333333345,-1.3326923076923132
A38,18.5,enriched,-13.486956521739176,-5.790566037735858
A9,9.5,enriched,3.6594059405940738,-0.910344827586176
