jar,temp,treatment,avg_GPP,avg_ER
9,12,ambient,-1.4903225806451674,2.068656716417919
14,15,enriched,-1.2983606557379077,2.659701492537362
22,12,enriched,-1.947540983606516,1.7864661654135487
26,9,enriched,18.096774193548494,-3.202941176470624
29,6,enriched,11.104761904761855,-1.8137404580152288
40,6,ambient,3.8322580645162745,5.557894736842075
44,15,ambient,0.8655737704917079,-1.499999999999915
49,9,ambient,23.46666666666654,-3.813333333333304
