jar,treatment,tank,treatment,DO_1_mg_L,DO_2_mg_L,DO_3_mg_L,time,photoperiod,comments
49,ambient,1,9,8.9,8.91,8.89,8:55,initial,
26,enriched,1,9,8.79,8.77,8.78,8:55,initial,
40,ambient,2,6,8.83,8.81,8.83,8:57,initial,
29,enriched,2,6,8.85,8.86,8.85,8:57,initial,
9,ambient,3,12,8.9,8.88,8.85,9:00,initial,
22,enriched,3,12,9.09,9.07,9.06,9:01,initial,
44,ambient,4,15,8.95,8.9,8.91,9:04,initial,
14,enriched,4,15,9.07,9.03,9.02,9:03,initial,
49,ambient,1,9,9.29,9.26,9.27,9:58,light,
26,enriched,1,9,9.08,9.06,9.05,9:57,light,
40,ambient,2,6,8.88,8.86,8.91,9:59,light,
29,enriched,2,6,9.05,9.02,9.02,10:00,light,
9,ambient,3,12,8.84,8.86,8.86,10:02,light,
22,enriched,3,12,9.07,9.04,9.02,10:02,light,
44,ambient,4,15,8.95,8.93,8.92,10:05,light,
14,enriched,4,15,9.02,9.03,9.01,10:04,light,
49,ambient,1,9,9.16,9.14,9.13,12:13,dark,
26,enriched,1,9,8.98,8.95,8.93,12:13,dark,
40,ambient,2,6,9.07,9.06,9.08,12:12,dark,
29,enriched,2,6,8.98,8.97,8.96,12:11,dark,
9,ambient,3,12,8.94,8.92,8.91,12:16,dark,
22,enriched,3,12,9.12,9.1,9.09,12:15,dark,
44,ambient,4,15,8.88,8.88,8.89,12:17,dark,
14,enriched,4,15,9.12,9.11,9.1,12:18,dark,
